brand,model,model_year,engine,transmission,int_col,accident,price
Toyota,Sequoia Limited,2017,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,None reported,37999
Land,Rover Defender X-Dynamic SE,2023,3.0 Liter,Automatic,–,None reported,79998
Toyota,Highlander XLE,2018,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,31000
Chevrolet,Silverado 1500 LT,2017,5.3L V8 16V GDI OHV,6-Speed Electronically Controlled Automatic with O,Jet Black,None reported,36590
Subaru,Crosstrek 2.0i Limited,2018,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,24000
Mercedes-Benz,SL-Class SL 550,2015,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Beige,None reported,54500
Dodge,Challenger SRT Hellcat,2020,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,69900
Honda,Civic LX,2015,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,17500
Toyota,Tundra Limited,2022,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,None reported,55000
BMW,X5 xDrive35i,2018,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,32000
Volvo,850 Turbo,1995,–,A/T,Black,None reported,4500
GMC,Sierra 1500 SLE Crew Cab,2006,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,14500
Ford,F-250 Lariat,2017,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,None reported,50000
Audi,Q5 40 Premium,2022,201.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,Brown,None reported,41500
Genesis,G70 2.0T,2023,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,40750
Kia,EV6 GT-Line,2022,320.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,None reported,47500
Tesla,Model S Plaid,2021,1020.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,69995
Kia,K5 GT-Line,2022,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,At least 1 accident or damage reported,29430
Subaru,WRX Base,2015,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Black,At least 1 accident or damage reported,18000
Lexus,ES 350 Base,2008,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,8995
Audi,Q8 3.0T Prestige,2019,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,At least 1 accident or damage reported,48500
Land,Rover Range Rover Velar P250 SE R-Dynamic,2018,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,34900
Chrysler,300 S,2012,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,13750
Lincoln,Nautilus Reserve,2021,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,48000
Land,Rover Defender V8,2022,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,96500
Porsche,Cayman S,2014,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,49750
Jeep,Grand Cherokee Laredo,2013,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,None reported,13500
Acura,MDX Sport,2007,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,At least 1 accident or damage reported,7700
Nissan,300ZX Base,1993,–,5-Speed M/T,Black,None reported,7000
Hummer,H3 Base,2007,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,None reported,9995
Mercedes-Benz,GLS 450 Base 4MATIC,2017,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,At least 1 accident or damage reported,33000
Nissan,Rogue Sport S,2021,141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,25500
Acura,Integra w/A-Spec Tech Package,2023,1.5 Liter Turbo,Variable,Orchid,None reported,34998
Audi,A3 2.0T Tech Premium,2018,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,26999
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,None reported,81500
Toyota,Tundra SR5,2021,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,44750
Ford,Transit-350 XLT,2021,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,Gray,None reported,57000
Audi,allroad 2.7T,2005,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,M/T,Blue,At least 1 accident or damage reported,6500
BMW,X2 xDrive28i,2018,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,24900
Ford,Explorer XLT,2013,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,At least 1 accident or damage reported,7850
Mercedes-Benz,GLC 300 GLC 300,2021,2.0 Liter Turbo,Automatic,–,None reported,42598
FIAT,500 Lounge,2013,101.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,9000
Mercedes-Benz,SL-Class SL 63 AMG,2011,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,At least 1 accident or damage reported,41000
Kia,Optima LX,2011,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,–,At least 1 accident or damage reported,6900
BMW,X3 xDrive30i,2020,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Canberra Beige,None reported,37998
Mercedes-Benz,Sprinter 2500,2016,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,–,At least 1 accident or damage reported,24500
Lexus,RX 330 Base,2006,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,11000
Ford,Mustang Mach-E Premium,2021,266.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,41999
Toyota,Sequoia TRD Pro,2023,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Black,None reported,91995
Porsche,911 Turbo,2018,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,147500
BMW,X6 xDrive35i,2009,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,12500
Audi,RS Q8 4.0T,2020,591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,91500
Land,Rover Range Rover HSE SWB,2020,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,None reported,75500
Kia,Telluride SX,2020,3.8L V6 24V GDI DOHC,8-Speed Automatic,Gray,None reported,37405
Audi,A5 2.0T Premium Plus,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,13800
Jeep,Cherokee Sport,1996,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,At least 1 accident or damage reported,6500
RAM,1500 Big Horn,2022,3.6L V6 24V MPFI DOHC,Automatic,Black,None reported,41741
Jeep,Wrangler Unlimited Sport,2018,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,35000
BMW,X7 xDrive40i,2020,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,54500
Mercedes-Benz,S-Class S 580 4MATIC,2021,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,None reported,99900
Ford,Transit Connect XLT,2012,136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,At least 1 accident or damage reported,8500
Mercedes-Benz,GLC 300 Base,2020,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,33500
Nissan,Pathfinder S,2014,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,8500
BMW,M550 i xDrive,2018,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,44900
Jeep,Wrangler Sahara,2020,3.6 Liter,Automatic,Black,None reported,38598
BMW,Z4 sDrive28i,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,None reported,29995
Nissan,GT-R Premium,2017,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,113000
Audi,A7 Premium,2012,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,At least 1 accident or damage reported,36880
Hummer,H3 Base,2006,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,17900
Toyota,Avalon Limited,2006,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,None reported,9499
BMW,Z4 2.5i,2004,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,None reported,9000
Ford,F-150 XLT,2021,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,,39995
Acura,TLX A-Spec,2020,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,None reported,32000
Toyota,Corolla LE,2010,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,9995
Ford,F-250 XLT,2016,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,At least 1 accident or damage reported,28999
Jeep,Wrangler Sahara,2013,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,26500
Audi,Q3 45 S line Premium,2022,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,None reported,33610
Tesla,Model 3 Base,2022,271.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,36750
Cadillac,Escalade Platinum Edition,2012,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,None reported,12900
MINI,Countryman Cooper,2020,1.5L I3 12V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Black,None reported,21612
Jeep,Gladiator Rubicon,2022,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,47500
BMW,M2 Base,2023,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,73600
Cadillac,SRX Luxury Collection,2012,308.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,Beige,None reported,11499
BMW,M4 Competition,2021,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,At least 1 accident or damage reported,90000
Audi,A6 2.0T Sport,2018,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,23750
BMW,128 i,2013,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,18000
GMC,Yukon XL SLT,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,45500
Chrysler,300M Base,2004,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,6000
Hummer,H3 Base,2007,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,7200
BMW,M3 Base,2008,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,None reported,38490
Honda,Ridgeline RTL-E,2022,3.5L V6 24V GDI SOHC,9-Speed Automatic,Black,None reported,38999
Kia,Sorento S,2021,2.5L I4 16V PDI DOHC,8-Speed Automatic,Black,None reported,33591
Tesla,Model Y Performance,2020,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,None reported,43000
Bentley,Continental GT V8 First Edition,2020,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,Linen,None reported,199991
Lincoln,Town Car Signature,2003,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,None reported,5000
Mercedes-Benz,GL-Class GL 550,2011,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,None reported,17500
Chevrolet,Corvette Base,2010,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,35000
GMC,Terrain SLT-1,2015,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,9500
GMC,Sierra 2500 SLE,2015,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Beige,None reported,31900
Audi,e-tron Prestige,2019,355.0HP Electric Motor Electric Fuel System,A/T,Beige,At least 1 accident or damage reported,39990
BMW,M4 Base,2019,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,None reported,55999
Mercedes-Benz,GLA 250 Base 4MATIC,2018,208.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,7-Speed A/T,Black,None reported,20900
Subaru,Legacy 2.5 i Premium,2010,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,7600
Lexus,LS 460 Crafted Line,2015,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,31900
Honda,Civic Si,2012,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,19600
RAM,1500 Longhorn,2023,5.7L V8 16V MPFI OHV,Automatic,Black / Saddle,None reported,65688
GMC,Yukon XL SLT,2016,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,30000
Chevrolet,Bolt EUV Premier,2022,200.0HP Electric Motor Electric Fuel System,A/T,Blue,None reported,33000
BMW,435 Gran Coupe i,2016,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,24950
Maserati,Grecale Modena,2023,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Red,None reported,69645
Audi,Q5 S line Premium,2022,2.0 Liter TFSI,Automatic,Gray,None reported,40798
Tesla,Model S P100D,2018,518.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,59500
Lexus,NX 200t Base,2015,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,27000
Jeep,Wrangler S,1994,–,5-Speed M/T,Gray,None reported,15000
Mercedes-Benz,G-Class G 550,2020,4.0 Liter Twin Turbo,Automatic,Black,None reported,142998
Maserati,Levante Modena,2023,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Black,None reported,88950
Toyota,Tundra SR5 Access Cab,2005,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,None reported,8500
Toyota,FJ Cruiser Base,2007,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,17900
Ford,Explorer Limited,2018,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,26900
Bentley,Flying Spur V8,2022,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,–,None reported,197750
Volvo,S60 T5 Premier Plus,2015,250.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,At least 1 accident or damage reported,17900
Ford,Transit-350 Base,2015,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,At least 1 accident or damage reported,17100
Audi,Q5 S line Premium Plus,2022,2.0 Liter TFSI,Automatic,Black,None reported,42998
Jaguar,F-PACE 35t Premium,2017,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,At least 1 accident or damage reported,26000
Lincoln,MKX Reserve,2016,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,18500
BMW,M3 Base,2011,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,None reported,34950
Cadillac,XLR Base,2009,320.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,36500
Audi,RS 7 4.0T Performance Prestige,2017,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,At least 1 accident or damage reported,59200
Chrysler,200 Limited,2017,–,A/T,Black,None reported,10000
Lexus,ES 350 Base,2020,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,At least 1 accident or damage reported,33364
Aston,Martin V8 Vantage Base,2008,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,At least 1 accident or damage reported,39000
Bentley,Bentayga Activity Edition,2018,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,None reported,113000
Tesla,Model S 85,2014,362.0HP Electric Motor Electric Fuel System,A/T,Black,None reported,28450
Nissan,Juke NISMO RS,2016,215.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,At least 1 accident or damage reported,21500
Ford,Explorer XLT,2022,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,46000
GMC,Sierra 3500 Denali,2019,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,Black,At least 1 accident or damage reported,58500
Ford,Mustang GT Premium,2019,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,None reported,41000
Mercedes-Benz,AMG G 63 Base,2018,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,108900
Volvo,XC70 T6 Platinum,2012,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,15900
Pontiac,Firebird Trans Am,2001,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,12850
Bentley,Bentayga Speed,2020,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,Hotspur Hide,None reported,173995
Hyundai,Equus Signature,2011,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,None reported,9950
BMW,750 i,2015,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,At least 1 accident or damage reported,23000
Ford,F-350 Platinum,2022,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,None reported,99750
INFINITI,Q60 3.0t Red Sport 400,2018,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,32000
Mercedes-Benz,E-Class E 350,2014,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,None reported,24500
Mercedes-Benz,GLE 350 Base 4MATIC,2020,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,None reported,56000
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,402.0HP Electric Motor Electric Fuel System,A/T,Blue,None reported,54900
Mazda,CX-30 2.5 S Select Package,2022,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,25500
Toyota,Sequoia Platinum,2011,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,At least 1 accident or damage reported,16000
Ford,Explorer XLT,2017,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,17500
Porsche,Boxster Base,1999,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,None reported,12250
Toyota,Camry Hybrid LE,2022,2.5L I4 16V PDI DOHC Hybrid,Automatic CVT,Black,None reported,29999
Land,Rover Range Rover Sport HSE,2019,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,None reported,40500
Alfa,Romeo Giulia Quadrifoglio,2018,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,,41500
Mercedes-Benz,GLS 550 Base 4MATIC,2017,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,None reported,39999
BMW,X6 xDrive40i,2021,3.0 Liter Turbo,SCHEDULED FOR OR IN PRODUCTION,Black,At least 1 accident or damage reported,53998
Hyundai,Palisade SEL,2021,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,29600
BMW,M440 i,2021,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Beige,,60000
Dodge,Challenger SRT 392,2016,–,8-Speed A/T,Black,At least 1 accident or damage reported,38000
Ford,Utility Police Interceptor Base,2013,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,Black,At least 1 accident or damage reported,6600
Ford,F-150 Platinum,2015,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,None reported,31000
Lexus,RX 450h Base,2010,245.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Beige,At least 1 accident or damage reported,10900
Alfa,Romeo Giulia Quadrifoglio,2022,2.9L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Black,None reported,75900
Toyota,FJ Cruiser Base,2007,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,None reported,23977
Hyundai,Santa Fe Sport 2.0L Turbo,2018,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,20900
Chevrolet,Corvette ZR-1,2009,638.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,78000
BMW,330e iPerformance,2017,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,At least 1 accident or damage reported,24950
Dodge,Durango GT,2017,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,30000
Cadillac,CT6-V 4.2L Blackwing Twin Turbo,2019,4.2L V8 32V GDI DOHC Twin Turbo,10-Speed Automatic,Jet Black,None reported,76700
Mercedes-Benz,EQS 450+ Base,2022,329.0HP Electric Motor Electric Fuel System,1-Speed A/T,Beige,None reported,62479
MINI,Hardtop Cooper S,2016,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Carbon Black,None reported,17999
Land,Rover Range Rover Velar R-Dynamic SE,2019,2.0 Liter,Automatic,Black,None reported,35998
BMW,X4 M40i,2023,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Beige,None reported,67900
Toyota,Corolla Hybrid LE,2022,121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,None reported,22945
Chevrolet,Malibu 1LT,2009,169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,4200
Cadillac,Escalade Platinum,2019,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,51900
Dodge,Ram 1500 Laramie,2004,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,5700
Mercedes-Benz,E-Class E 350,2021,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,None reported,41000
Acura,MDX Touring,2003,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,4000
Land,Rover Range Rover Sport HSE,2019,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,48990
Chevrolet,Corvette Stingray w/2LT,2022,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,None reported,92500
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,At least 1 accident or damage reported,11999
Audi,TT 2.0T,2018,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,None reported,31990
Chevrolet,Corvette Grand Sport,2013,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,None reported,45000
BMW,X5 xDrive35i,2013,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,At least 1 accident or damage reported,15999
Lexus,LS 460 L,2007,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,None reported,9999
GMC,Acadia SLT-2,2013,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,None reported,14000
Tesla,Model X 75D,2016,518.0HP Electric Motor Electric Fuel System,A/T,Beige,None reported,52000
GMC,Yukon Denali,2016,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,35500
Lexus,LS 460 Base,2012,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,At least 1 accident or damage reported,9995
RAM,1500 Big Horn,2021,5.7L V8 16V MPFI OHV,8-Speed Automatic,Black,None reported,42816
Jeep,Grand Cherokee Summit,2020,5.7L V8 16V MPFI OHV,8-Speed Automatic,Black,None reported,39366
Lexus,LX 570 Base,2016,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,None reported,62900
GMC,Yukon Denali,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,74500
BMW,M4 Base,2020,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,None reported,62450
Ford,E350 Super Duty XLT,2012,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,None reported,19550
Volvo,C30 T5 Premier Plus,2013,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,13900
Toyota,Highlander Hybrid Limited Platinum,2017,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Ash,None reported,37999
Lamborghini,Gallardo SE,2006,493.0HP 5.0L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Yellow,None reported,129000
GMC,Yukon SLT,2015,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,None reported,22999
Buick,Enclave Premium,2020,3.6L V6 24V GDI DOHC,9-Speed Automatic,Dark Galvanized,At least 1 accident or damage reported,31650
BMW,540 i,2017,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,None reported,24500
Toyota,Tundra SR,2018,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,At least 1 accident or damage reported,38000
BMW,X6 M Base,2017,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,At least 1 accident or damage reported,65000
Ford,Mustang GT,2008,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,At least 1 accident or damage reported,16000
Jeep,Wrangler Sport,2010,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,18500
